id;account_code;account_name;account_type;account_angel;ksei_client_code;ksei_subrek;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;hack;Checking Account;W;true;Colo;online e-busine;2019-12-08;2019-12-08T17:56:01;64977;2019-12-08;2019-12-09T03:11:33;61585
2;invoice Go;Home Loan Account;E;false;Tast;invoice multi-b;2019-12-08;2019-12-08T19:01:47;57336;2019-12-08;2019-12-09T01:15:43;45825
3;Somalia We;Personal Loan Account;D;false;Fant;Ergonomic Rubbe;2019-12-08;2019-12-09T02:38:14;65572;2019-12-08;2019-12-08T19:05:47;84487
4;Garden ope;Checking Account;R;true;mobi;deliverables;2019-12-08;2019-12-08T08:58:55;57592;2019-12-08;2019-12-08T10:47:11;41261
5;incentiviz;Auto Loan Account;u;true;band;application Con;2019-12-08;2019-12-08T16:13:12;49656;2019-12-08;2019-12-08T18:59:42;32004
6;Direct;Investment Account;I;true;Fant;Borders Borders;2019-12-09;2019-12-08T21:18:32;60244;2019-12-08;2019-12-08T15:03:26;67251
7;parse;Auto Loan Account;b;false;Aust;bandwidth Liais;2019-12-08;2019-12-08T10:04:11;83696;2019-12-08;2019-12-08T07:32:28;10112
8;Practical ;Credit Card Account;S;false;Plan;PCI SAS;2019-12-08;2019-12-08T05:36:44;90769;2019-12-08;2019-12-08T14:08:26;75337
9;repurpose ;Auto Loan Account;O;true;Cott;Advanced grow;2019-12-08;2019-12-09T02:59:40;74097;2019-12-09;2019-12-08T09:56:00;11752
10;payment sy;Personal Loan Account;g;true;Mand;Strategist;2019-12-08;2019-12-09T03:18:36;32268;2019-12-08;2019-12-09T03:18:15;52770
