id;category_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;85184;2019-12-08;2019-12-08T18:39:09;67296;2019-12-09;2019-12-08T21:44:13;54253
2;30631;2019-12-08;2019-12-08T09:24:38;59028;2019-12-08;2019-12-08T22:54:55;79838
3;38423;2019-12-08;2019-12-08T17:32:35;85756;2019-12-08;2019-12-08T06:20:49;75935
4;43098;2019-12-09;2019-12-08T20:41:36;88965;2019-12-08;2019-12-09T04:03:02;37117
5;37005;2019-12-08;2019-12-09T03:41:16;70558;2019-12-08;2019-12-08T11:49:28;52581
6;37455;2019-12-08;2019-12-09T00:20:29;16562;2019-12-08;2019-12-08T12:50:54;14259
7;4477;2019-12-08;2019-12-08T10:03:37;34587;2019-12-08;2019-12-09T00:38:20;33976
8;2544;2019-12-08;2019-12-08T12:50:47;37891;2019-12-08;2019-12-09T04:11:06;34060
9;38587;2019-12-09;2019-12-08T09:20:42;40962;2019-12-08;2019-12-08T20:52:37;10125
10;67712;2019-12-08;2019-12-08T13:48:27;53108;2019-12-08;2019-12-08T08:08:41;21789
