id;qty_on_hand;qty_deposit;qty_withdraw;cast_value;profit_loss;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;92464;99296;91911;7379;25299;2019-10-15;2019-10-15T17:57:30;96930;2019-10-16;2019-10-15T22:05:37;16621
2;62939;21680;69574;29449;45454;2019-10-15;2019-10-15T19:35:12;69692;2019-10-15;2019-10-16T01:25:38;90115
3;73710;4544;91525;28096;95870;2019-10-15;2019-10-16T09:15:33;89026;2019-10-16;2019-10-15T23:42:44;10675
4;62013;33566;27738;16967;18812;2019-10-15;2019-10-15T23:31:09;38826;2019-10-16;2019-10-16T05:08:33;58365
5;26593;7773;36034;97439;25994;2019-10-15;2019-10-15T23:46:13;69816;2019-10-16;2019-10-15T21:46:54;27976
6;30952;41120;81379;60278;68473;2019-10-16;2019-10-16T06:44:43;13318;2019-10-15;2019-10-16T08:49:09;82253
7;94053;94979;41663;72571;58116;2019-10-15;2019-10-15T12:35:17;41824;2019-10-16;2019-10-15T12:15:46;87666
8;86606;55158;4521;16483;2636;2019-10-16;2019-10-16T01:36:47;77760;2019-10-15;2019-10-15T23:07:09;98727
9;98528;15041;37673;59413;74957;2019-10-16;2019-10-16T01:12:59;96991;2019-10-15;2019-10-15T14:26:14;56908
10;83832;6351;46869;3682;41481;2019-10-16;2019-10-16T04:05:10;1367;2019-10-16;2019-10-16T08:50:22;86472
