id;payment_code;payment_desc;amount;status;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Cambridges;Shoal Analyst;26895;o;2019-10-16;2019-10-16T01:57:49;3976;2019-10-15;2019-10-15T20:09:02;4564
2;Concrete h;Manors;62251;P;2019-10-15;2019-10-16T03:54:42;47428;2019-10-16;2019-10-15T20:28:03;51657
3;Sports Mov;backing up;84392;e;2019-10-15;2019-10-15T15:23:10;43853;2019-10-15;2019-10-16T05:24:14;51266
4;5th genera;bypassing mobile;81820;G;2019-10-15;2019-10-15T22:28:13;57477;2019-10-15;2019-10-16T09:56:10;49354
5;Australian;Shirt;38987;i;2019-10-15;2019-10-15T17:30:41;25817;2019-10-15;2019-10-15T18:27:28;30937
6;calculatin;Creative driver THX;210;p;2019-10-15;2019-10-16T09:13:10;4055;2019-10-15;2019-10-15T13:43:48;68658
7;Metal;online withdrawal;9228;I;2019-10-15;2019-10-15T16:37:12;90032;2019-10-16;2019-10-16T00:56:47;8018
8;out-of-the;bandwidth payment withdrawal;88803;C;2019-10-16;2019-10-15T12:43:46;11573;2019-10-15;2019-10-16T06:56:40;87369
9;alarm;reboot;52999;c;2019-10-15;2019-10-16T07:14:12;82001;2019-10-16;2019-10-15T17:58:16;42203
10;heuristic ;integrate Direct;80802;p;2019-10-15;2019-10-15T18:59:36;6738;2019-10-15;2019-10-16T01:21:03;69249
