id;trans_code;trans_desc;trans_date;trans_type;qty;amount;unique_charges;net_amount;status;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Legacy inv;help-desk;2019-12-08;E;11764;80360;73973;50520;S;2019-12-08;2019-12-08T16:41:51;98411;2019-12-09;2019-12-08T12:18:58;72518
2;challenge ;systems Keyboard Clothing;2019-12-08;A;71935;82295;89025;20975;i;2019-12-08;2019-12-08T23:50:53;33684;2019-12-08;2019-12-08T21:13:49;81906
3;Botswana a;Internal withdrawal;2019-12-08;N;87982;33520;52543;17376;b;2019-12-08;2019-12-09T02:15:13;10063;2019-12-08;2019-12-08T22:35:21;42011
4;National;Extension calculate withdrawal;2019-12-08;b;47128;84373;97910;25397;M;2019-12-09;2019-12-08T20:32:37;31491;2019-12-08;2019-12-09T04:15:16;6964
5;Mouse SMTP;Gorgeous Steel Tuna cross-media XML;2019-12-08;s;6850;3318;76315;30394;i;2019-12-08;2019-12-08T22:45:35;76606;2019-12-08;2019-12-08T09:25:24;5909
6;Future inv;UAE Dirham Florida Fantastic;2019-12-08;F;54664;12884;38040;41276;p;2019-12-08;2019-12-08T10:35:18;2717;2019-12-08;2019-12-08T05:09:23;28003
7;SMS;Agent;2019-12-08;T;62134;72667;55918;30475;c;2019-12-08;2019-12-08T17:32:59;11258;2019-12-08;2019-12-08T11:27:28;12024
8;Ergonomic ;secured line;2019-12-08;c;29991;73024;74319;59880;U;2019-12-08;2019-12-08T12:19:08;33040;2019-12-08;2019-12-08T20:10:35;89230
9;orchid Awe;4th generation interfaces zero tolerance;2019-12-08;N;22022;59897;48837;11493;S;2019-12-08;2019-12-09T02:47:37;87897;2019-12-08;2019-12-08T14:37:25;2514
10;North Kore;vortals hack Money Market Account;2019-12-08;i;60708;94810;63130;44524;w;2019-12-08;2019-12-08T16:02:58;13169;2019-12-09;2019-12-08T22:43:32;38451
