id;bank_account_no;bank_account_name;bank_branch;status;bank_id;currency_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Designer Course;Keyboard Analyst Ameliorated;Borders Liaison evolve;r;92563;38798;2019-12-08;2019-12-09T00:30:20;39543;2019-12-09;2019-12-08T20:49:45;75621
2;Meadow;Fresh;Cotton Identity info-mediaries;e;8820;28840;2019-12-08;2019-12-08T05:16:44;15158;2019-12-08;2019-12-09T03:36:13;38551
3;integrated Wallis and Futuna Shoes;Mali Cheese;transmitting;B;70901;19462;2019-12-09;2019-12-09T02:57:45;50744;2019-12-08;2019-12-08T12:05:20;27024
4;Assistant;Guadeloupe Towels;Frozen platforms;i;78238;99384;2019-12-08;2019-12-08T07:13:07;30048;2019-12-08;2019-12-08T20:31:35;56937
5;Investment Account lime enable;RSS;Tunisia Customer-focused Planner;C;3798;13065;2019-12-08;2019-12-08T09:22:26;54932;2019-12-09;2019-12-09T02:57:37;79421
6;holistic TCP Usability;Applications;Executive Buckinghamshire;B;52244;20322;2019-12-08;2019-12-08T10:03:47;44122;2019-12-08;2019-12-08T13:48:29;51127
7;Berkshire Oregon SCSI;Knolls networks Auto Loan Account;South Dakota Applications;E;5947;85396;2019-12-09;2019-12-08T17:48:23;64019;2019-12-08;2019-12-08T21:11:01;89309
8;Incredible Fresh Ball;Beauty Orchestrator;Mobility;c;92925;68772;2019-12-09;2019-12-08T11:00:04;87204;2019-12-08;2019-12-08T15:41:34;13443
9;moderator transparent;B2B program Uzbekistan;Industrial Manager Zimbabwe Dollar;I;63290;74047;2019-12-09;2019-12-09T00:55:03;566;2019-12-08;2019-12-08T05:51:22;76892
10;invoice program calculating;Ergonomic target;Gorgeous infomediaries utilize;f;54913;11099;2019-12-08;2019-12-08T08:56:55;57704;2019-12-08;2019-12-08T11:36:00;7231
